Month,folder_id,Folder,Articles,Article thường,Article thương mại,A- Build Top,A- Non- Build Top,Pageviews,Pageviews (-$),Pageviews ($),P- Ex-Direct,P- Ex-Google,P- Ex-Social,P- In-Home,P- In-Folder,P- In-Detail,P- In-Other,P- Listing,P- Detail,P- DO,P- OV,P- Unknown,P- Mobile,P- PC,P- App,P- Tablet
7/2025,1006255,VnE-GO,0,0,0,0,0,"10,503,070",610865,9892205,366103,417444,149892,4079355,343560,663512,4432503,0,0,9686584,807606,8880,5288710,4331118,833460,35920
7/2025,1000000,VnExpress,0,0,0,0,0,"191,394,526",13894529,177499997,82429933,21072676,60399,84975,1409401,7048324,78759396,191394526,0,171587513,19648561,158452,93691994,65395189,31502145,684925
7/2025,1001006,Xe,299,268,31,41,258,"10,197,726",869468,9328258,643955,2845546,77949,1769359,883203,725088,3206281,4169586,6028140,9523029,665616,9081,5694109,3853926,588246,50196
7/2025,1001012,Ý kiến,227,226,1,0,227,"4,442,707",301601,4141106,234698,992233,277159,837723,257159,544918,1224821,538693,3904014,4035467,402649,4591,2600366,1285961,526245,27827
8/2025,1005628,Bất động sản,196,133,63,69,127,"6,844,632",530528,6314104,346657,1052607,376340,2277450,352660,488028,1917788,1176901,5667731,6371245,465592,7795,3425521,2683701,694713,37062
8/2025,1002966,Đời sống,238,194,44,47,191,"9,789,767",728171,9061596,626651,2248873,411580,2487686,493931,958265,2494886,1091329,8698438,8647388,1127307,15072,5325365,3597794,803318,58991
8/2025,1003231,Du lịch,248,174,74,49,199,"6,151,302",435171,5716131,383724,1822298,176274,1456160,283578,555462,1430969,648439,5502863,5478298,664096,8908,3353072,2252157,504311,37290
8/2025,1003888,English,1162,1118,44,0,1162,"10,957,255",250470,10706785,1342465,6617958,190205,313652,108213,587517,1768130,1475326,9481929,2093041,8536066,328148,8766916,1473614,543424,150215
8/2025,1002691,Giải trí,451,429,22,108,343,"13,750,129",1056860,12693269,729780,2764453,233366,3728230,948559,1726172,3515346,2139952,11610177,11486024,2239674,24431,7330463,5083509,1233973,94235
8/2025,1003497,Giáo dục,371,280,91,79,292,"12,130,207",519786,11610421,855597,5268781,680320,1944506,306503,858487,2145065,1604016,10526191,11618497,502160,9550,8177251,3180559,712387,55566
8/2025,1003450,Góc nhìn,30,30,0,0,30,"2,433,428",195335,2238093,164546,110735,61839,694307,66883,129886,1201125,738421,1695007,2205366,225024,3038,798124,1068054,552817,13281
8/2025,1006219,Khoa học công nghệ,0,0,0,0,0,"12,956,704",1218973,11737731,979383,2976009,247759,3200159,755074,1190137,3477512,0,0,11563380,1375838,17486,7077360,4546414,1251864,74272
8/2025,1003159,Kinh doanh,696,304,392,135,561,"13,574,180",1070290,12503890,1314794,2468774,520255,3690765,885482,895933,3707193,2608888,10965292,12241392,1318208,14580,6922297,5269016,1310998,65469
8/2025,1004492,Mới nhất,0,0,0,0,0,"5,016,017",441932,4574085,304500,339343,101,629647,153901,491353,3095482,5016017,0,4461365,550252,4400,1079082,2072240,1847707,12640
8/2025,1002835,Ngôi sao,1522,1446,76,1261,261,"49,391,946",2087919,47304027,9953649,8342588,2447553,9676401,1382658,6921352,10578201,18926394,30465552,41216875,8103926,71145,31030098,17500073,507784,276877
8/2025,1001007,Pháp luật,343,343,0,116,227,"21,229,583",1449420,19780163,1540560,3564352,771932,5623048,1608252,2351872,5606381,3586323,17643260,19024291,2184043,21249,12578857,6328783,2202926,98819
8/2025,1005858,Spotlight,0,0,0,0,0,"4,368",400,3968,493,52,0,957,401,666,1769,4368,0,3790,567,11,2236,2123,0,9
8/2025,1003750,Sức khỏe,987,384,603,73,914,"11,251,810",705579,10546231,761289,2339672,321842,2771276,418678,908280,3556657,1043117,10208693,10185870,1052704,13236,6489281,3396677,1276270,61870
8/2025,1001014,Tâm sự,444,444,0,1,443,"10,858,156",754779,10103377,568029,1464807,87741,1981789,1628252,1690839,3369503,3053371,7804785,9650685,1196592,10879,6024659,3851421,918247,58039
8/2025,1001002,Thế giới,778,778,0,441,337,"53,448,803",4560788,48888015,2814877,5703637,259379,16116776,5152905,6379669,16416095,13387087,40061716,44733655,8641165,73983,31351846,16357825,5440318,276933
8/2025,1002565,Thể thao,718,657,61,220,498,"26,429,312",2163454,24265858,1979305,4946211,213408,6374464,2850160,2630818,7236704,7299987,19129325,22892823,3503975,32514,15753213,8116295,2289969,136619
8/2025,1001005,Thời sự,465,457,8,352,113,"33,959,103",2438731,31520372,2679733,3912007,1765713,11769745,1602717,3065378,8999347,4673930,29285173,31664250,2269709,25144,19834868,10318054,3634356,158033
8/2025,1001011,Thư giãn,242,242,0,0,242,"7,852,749",314106,7538643,443423,3260572,18348,486817,168408,2550893,884520,369904,7482845,7506887,341964,3898,6188043,1371375,248570,43237
8/2025,1006255,VnE-GO,0,0,0,0,0,"11,009,259",637071,10372188,383208,399174,115617,4416890,357661,713439,4585142,0,0,10110895,888542,9822,5550213,4520462,885256,38515
8/2025,1000000,VnExpress,0,0,0,0,0,"184,295,442",13263292,171032150,80117716,20989481,57590,61629,1386016,7114744,74081220,184295442,0,163974224,20152926,168292,89860380,65107996,28569480,650307
8/2025,1001006,Xe,282,244,38,29,253,"10,675,642",863523,9812119,687678,3524183,68262,1546844,926652,766225,3113475,4555310,6120332,10027005,637950,10687,6162026,3944361,509714,49885
