Month,folder_id,Folder,Articles,Article thường,Article thương mại,A- Build Top,A- Non- Build Top,Pageviews,Pageviews (-$),Pageviews ($),P- Ex-Direct,P- Ex-Google,P- Ex-Social,P- In-Home,P- In-Folder,P- In-Detail,P- In-Other,P- Listing,P- Detail,P- DO,P- OV,P- Unknown,P- Mobile,P- PC,P- App,P- Tablet
11/2025,1001006,Xe,280,237,43,21,259,"8,961,851",712159,8249692,507306,3018480,95681,1123271,827140,561648,2788866,4402092,4559759,8378971,577622,5258,5007882,3463441,437270,38214
11/2025,1001012,Ý kiến,224,224,0,1,223,"5,511,684",273383,5238301,209982,2043099,472136,765614,236133,599999,1081858,471504,5040180,5130433,378992,2259,3808242,1183221,488544,29573
12/2025,1005628,Bất động sản,226,121,105,45,181,"4,622,862",377347,4245515,239741,745340,212939,1435839,308278,348979,1302693,1010898,3611964,4323224,296967,2671,2088592,2039626,464720,24346
12/2025,1002966,Đời sống,297,175,122,37,260,"8,188,684",590094,7598590,398737,2268410,317283,1942433,433960,746381,1999853,978075,7210609,7095520,1080490,12674,4463386,3055590,616098,47944
12/2025,1003231,Du lịch,265,199,66,35,230,"4,516,707",323358,4193349,250986,1562242,87483,920278,242808,380841,1017539,546495,3970212,3966857,543572,6278,2325675,1772847,384202,28160
12/2025,1003888,English,1062,1014,48,0,1062,"8,550,777",212030,8338747,954861,5148034,77715,269381,41673,425647,1606266,1357158,7193619,1958379,6430702,161696,6562763,1260390,609048,90840
12/2025,1002691,Giải trí,458,423,35,108,350,"11,925,989",935362,10990627,576809,2486018,245382,3108323,873571,1508379,3020763,1909016,10016973,10071104,1838761,16124,5982205,4750434,1095904,86966
12/2025,1003497,Giáo dục,251,199,52,56,195,"6,716,849",337321,6379528,432281,2553593,447260,1346534,201407,501645,1196960,658247,6058602,6256009,452329,8511,4001488,2157867,513655,37743
12/2025,1003450,Góc nhìn,36,36,0,0,36,"2,195,908",180958,2014950,85696,83759,57254,671334,65841,126356,1097675,659232,1536676,1973222,220597,2089,692400,986822,501364,13177
12/2025,1006219,Khoa học công nghệ,0,0,0,0,0,"13,122,274",1278155,11844119,1030329,2561269,283567,3782565,689975,1124150,3536351,0,0,11659590,1449086,13598,6854169,4869867,1319296,69809
12/2025,1003159,Kinh doanh,821,379,442,168,653,"13,305,828",1105232,12200596,1041392,2268384,539041,4025943,820794,912928,3617184,2384163,10921665,11968494,1326440,10894,6492462,5461794,1280219,62021
12/2025,1004492,Mới nhất,0,0,0,0,0,"4,633,465",418356,4215109,395186,249047,140,577915,151428,509361,2748333,4633465,0,4106312,523871,3282,865595,2103949,1644840,12073
12/2025,1002835,Ngôi sao,1531,1428,103,1326,205,"41,822,601",2160808,39661793,9169197,6350078,921051,8416477,1256345,6538793,9063118,17624654,24197947,34586650,7182703,53248,24261748,16774484,467822,239994
12/2025,1001007,Pháp luật,439,438,1,140,299,"23,052,792",1653349,21399443,1455779,3764520,1138740,5996402,1695085,2809968,6022820,3165690,19887102,20897450,2138929,16413,13724151,6647907,2565293,103615
12/2025,1005858,Spotlight,0,0,0,0,0,"3,798",521,3277,231,27,14,1029,372,572,1505,3798,0,3413,378,7,1827,1927,0,36
12/2025,1003750,Sức khỏe,1007,370,637,58,949,"9,160,180",627744,8532436,489997,1925770,459287,2508343,374754,732303,2586970,901306,8258874,8091623,1057999,10558,5187876,2860879,1023993,53332
12/2025,1001014,Tâm sự,427,427,0,0,427,"9,028,124",663535,8364589,474982,949791,47022,1784050,1475631,1405970,2839744,2783311,6244813,7983904,1037469,6751,4708943,3467468,803071,45034
12/2025,1001002,Thế giới,775,775,0,463,312,"49,333,418",4331636,45001782,3068005,4592472,659666,15269296,4678887,6122572,14633161,11727014,37606404,40901328,8368788,63302,28645849,15159680,5249993,249590
12/2025,1002565,Thể thao,753,691,62,254,499,"32,797,338",2551804,30245534,2923177,6075772,575269,12405590,5451931,3853841,2603571,9179519,24869808,30315289,3708797,25241,20517744,10402103,2887628,183108
12/2025,1001005,Thời sự,488,457,31,351,137,"29,380,015",2089159,27290856,2433916,4773463,2727280,11654210,2458379,2519403,1637348,3502450,24946025,26524206,1904554,19715,16434069,9485266,2326219,157890
12/2025,1001011,Thư giãn,224,224,0,0,224,"6,557,315",266738,6479406,400230,3700499,5643,515426,124203,1830265,133351,192295,6553849,6344018,398473,3653,5594238,1007046,73849,57604
12/2025,1006255,VnE-GO,0,0,0,0,0,"8,496,300",456301,8039999,301355,206235,139507,3674745,345371,628510,3161796,0,0,7685738,803288,7274,4267645,3439001,739670,30597
12/2025,1000000,VnExpress,0,0,0,0,0,"170,177,165",12280141,157897024,78596151,20970093,69703,35371,1361173,6553672,61992602,170177165,0,151140106,18878669,158390,83115122,60965125,25381392,587389
12/2025,1001006,Xe,303,244,59,34,269,"8,996,839",744329,8252510,534491,3029355,55900,1277391,811705,534132,2708451,4463746,4533093,8359224,630731,6884,5076815,3406321,461472,39268
12/2025,1001012,Ý kiến,232,231,1,1,231,"5,542,919",288862,5254057,218176,2016367,623181,780161,226209,552255,1041719,461816,5081103,5057322,480465,5132,3876891,1149268,482295,32856
1/2026,1005628,Bất động sản,151,109,42,30,121,"3,096,819",257445,2839374,160195,426179,119920,925101,218434,235953,981371,842708,2254111,2823030,266038,7751,1355161,1355909,362896,18757
1/2026,1002966,Đời sống,269,182,87,43,226,"8,531,794",579795,7951999,428904,2470981,253650,2044844,372937,769826,2128322,866392,7665402,7389791,1110810,31193,5089952,2697958,687583,50090
1/2026,1003231,Du lịch,235,187,48,52,183,"4,598,412",317745,4280667,231900,1467148,94144,1058838,198155,401808,1097214,492505,4105907,3925145,650510,22757,2626787,1512622,420682,31593
1/2026,1003888,English,957,933,24,0,957,"9,950,219",207700,9742519,1041553,6713609,75770,245589,36944,451225,1351573,1293804,8656415,1850760,7810347,289112,8014035,1195337,572156,141277
1/2026,1002691,Giải trí,424,408,16,114,310,"12,840,107",976093,11864014,566955,2411649,352402,3629076,762151,1743306,3274308,1745188,11094919,10606913,2180473,52721,6906388,4612643,1215350,93397
1/2026,1003497,Giáo dục,224,194,30,52,172,"6,582,805",317018,6265787,495769,2402461,427154,1342387,167980,455831,1256545,606978,5975827,6110996,458573,13236,4092569,1920515,529531,35670
1/2026,1003450,Góc nhìn,35,35,0,0,35,"2,163,172",180418,1982754,78519,128017,71596,650010,50378,102176,1077805,608286,1554886,1929619,225339,8214,771626,881828,494060,13533
1/2026,1006219,Khoa học công nghệ,461,422,39,110,351,"12,323,361",1142708,11180653,829867,2331241,353365,3592142,563698,1065775,3475387,0,0,10634906,1634135,54320,6964676,3879500,1394360,73425
1/2026,1003159,Kinh doanh,601,346,255,168,433,"11,739,590",948309,10791281,925785,1937975,427555,3546423,646047,805033,3381832,2063904,9675686,10405278,1300258,34054,6088382,4340666,1238656,62000
1/2026,1004492,Mới nhất,0,0,0,0,0,"4,503,685",380560,4123125,427935,180080,139,473068,109093,369856,2942269,4503685,0,3889651,542569,71465,857329,1963726,1663932,12130
1/2026,1002835,Ngôi sao,1487,1441,46,1350,137,"39,534,714",1740030,37794684,6785654,5277439,2153119,7622191,1030650,5929192,10669839,14907327,24627387,32120142,7281588,132984,25317679,13419764,505881,232376
1/2026,1001007,Pháp luật,368,368,0,148,220,"23,424,351",1564455,21859896,1213276,3012582,1692057,6694148,1478395,2917575,6252785,2994271,20430080,21343647,2037480,43224,14525913,6154783,2621296,109148
1/2026,1005858,Spotlight,0,0,0,0,0,"3,285",411,2874,177,14,3,814,299,444,1507,3285,0,2982,302,1,1744,1510,0,16
1/2026,1003750,Sức khỏe,890,319,571,57,833,"9,014,921",600834,8414087,464578,1599328,486658,2633843,292419,640264,2825047,789904,8225017,7873422,1112913,28586,5234907,2671476,1004307,52962
1/2026,1001014,Tâm sự,378,378,0,0,378,"7,721,709",561530,7160179,368695,752466,26571,1497215,1236926,1141595,2653822,2452117,5269592,6714976,989695,17038,4214863,2746477,717079,40504
1/2026,1001002,Thế giới,778,778,0,452,326,"42,376,462",3647020,38729442,2300787,3547926,661725,12952984,3843352,5216976,13591772,10060151,32316311,34140370,8059956,176136,24700314,12715760,4702283,229378
1/2026,1002565,Thể thao,592,573,19,206,386,"33,050,777",2596349,30454428,1709623,3611860,265186,9052427,3056723,3382918,11888585,8415929,24634848,29168087,3799410,83280,19994274,9445124,3403912,154000
1/2026,1001005,Thời sự,428,427,1,324,104,"29,137,051",1984709,27152342,1826292,4243554,1615855,10049336,1255562,2337417,7684525,3569703,25567348,27116188,1971787,49076,17955856,7948480,3077420,136275
1/2026,1001011,Thư giãn,217,217,0,1,216,"5,870,322",188746,5681576,240486,2565735,11932,369565,68875,2040334,520630,173935,5696387,5568647,294524,7151,4744422,898629,186382,39002
1/2026,1006614,Tia sáng,,,,,,,,,,,,,,,,,,,,,,,,
1/2026,-1,Vbrand,,,,,,,,,,,,,,,,,,,,,,,,
1/2026,1006255,VnE-GO,0,0,0,0,0,"9,211,921",495315,8716606,334827,353139,242756,3976748,330464,654274,3280816,0,0,8396322,796919,18680,5127775,3311893,714825,35149
1/2026,1000000,VnExpress,0,0,0,0,0,"159,911,053",11458762,148452291,62246680,14791888,72612,31799,1015337,4964572,76358205,159911053,0,140440794,18965260,504999,81449898,51862453,25903114,561058
1/2026,1001006,Xe,251,219,32,38,213,"9,293,515",735892,8557623,500778,2816323,105830,1575236,638138,625436,3000135,3699095,5594420,8579330,694846,19339,5665171,2977053,594948,40007
1/2026,1001012,Ý kiến,195,195,0,4,191,"5,636,776",295973,5340803,255186,2163290,552827,831103,186208,534461,1029723,426249,5210527,5010504,611136,15136,4099071,1033556,469432,33164
2/2026,1005628,Bất động sản,173,128,45,35,138,"3,936,754",333651,3603103,179351,564610,181537,1172789,305148,334518,1171353,958576,2978178,3653220,280861,2673,1632223,1916233,362839,22302
2/2026,1002966,Đời sống,219,191,28,36,183,"7,406,434",564704,6841730,367409,1726841,269273,1875241,362456,758009,1982755,854534,6551900,6341714,1053656,11064,3835796,2912072,609186,43727
2/2026,1003231,Du lịch,214,191,23,32,182,"5,020,520",358969,4661551,253906,1474211,159339,1170877,200830,442778,1271026,480588,4539932,4340773,673267,6480,2619875,1950974,410467,32101
2/2026,1003888,English,1052,1032,20,0,1052,"9,766,898",205404,9561494,1059468,6263836,99567,241744,39320,635644,1344516,1199678,8567220,1684979,7892949,188970,7817557,1299945,510666,112618
2/2026,1002691,Giải trí,425,407,18,98,327,"14,465,258",1074721,13390537,641179,2663091,529059,3934561,843727,2081439,3644496,1825276,12639982,11836846,2601833,26579,7724642,5423126,1203106,101788
2/2026,1003497,Giáo dục,258,207,51,55,203,"8,145,536",397638,7747898,535534,2747311,717330,1683224,210604,663053,1539892,735108,7410428,7651935,487986,5615,5012760,2488322,599810,39869
2/2026,1003450,Góc nhìn,33,33,0,0,33,"2,421,768",187449,2234319,79945,148830,163885,681006,51302,149652,1135958,602511,1819257,2206114,213899,1755,916856,1054280,436301,12910
2/2026,1006219,Khoa học công nghệ,419,400,19,131,288,"14,169,012",1228822,12940190,742822,3188382,658965,3834877,625136,1231619,3793925,0,0,12522406,1631530,15076,8085733,4584825,1409049,78726
2/2026,1003159,Kinh doanh,541,374,167,200,341,"15,473,155",1245683,14227472,1318236,2132059,617802,5020763,775383,1042034,4479233,2403602,13069553,14179299,1281290,12566,7972711,5812176,1610543,67020
2/2026,1004492,Mới nhất,0,0,0,0,0,"4,439,790",404262,4035528,323967,192245,168,465442,123631,423243,2909633,4439790,0,3840455,581841,17494,772972,2103289,1547245,11888
2/2026,1002835,Ngôi sao,1527,1474,53,1412,115,"43,407,012",2002711,41404301,7323580,5754447,2140003,8734325,1193006,6669405,11521175,15962043,27444969,35919608,7436087,51317,26208599,16406173,500461,227881
2/2026,1001007,Pháp luật,390,390,0,133,257,"19,713,752",1375439,18338313,965531,2160110,1604637,5251221,1478335,2512755,5485190,2982591,16731161,17914419,1786513,12820,11492250,6010333,2110073,89618
2/2026,1005858,Spotlight,0,0,0,0,0,"7,037",878,6159,663,39,18,1181,739,914,3401,7037,0,6532,494,11,3674,3352,0,11
2/2026,1003750,Sức khỏe,879,332,547,60,819,"8,034,343",569708,7464635,420625,1370151,408765,2215712,333914,629303,2587669,893309,7141034,7101911,924993,7439,4328205,2727154,880533,45808
2/2026,1001014,Tâm sự,380,380,0,1,379,"7,841,595",571878,7269717,366913,778989,42682,1499640,1238349,1196572,2673603,2372758,5468837,6945627,889776,6192,4005942,3107314,685308,39451
2/2026,1001002,Thế giới,778,778,0,424,354,"42,944,415",3744045,39200370,2176190,3829423,629590,12436119,4177250,5452844,13955484,10164376,32780039,34719097,8167680,57638,24496184,13517872,4673033,230459
2/2026,1002565,Thể thao,645,598,47,138,507,"16,734,186",1364520,15369666,1201072,3152451,83968,3335063,2318441,1546863,5020192,6323235,10410951,14565700,2151612,16874,9605319,5606274,1407283,77479
2/2026,1001005,Thời sự,445,444,1,333,112,"29,112,361",1965264,27147097,1833756,3502114,2263731,9606759,1301640,2456982,8021075,3913740,25198621,27589896,1507699,14766,16780276,9292369,2897615,123679
2/2026,1001011,Thư giãn,203,203,0,0,203,"5,557,768",211967,5345801,236813,2300498,5959,425450,84474,1894079,558420,192898,5364870,5286360,268703,2705,4235165,1112255,170358,38343
2/2026,1006614,Tia sáng,,,,,,,,,,,,,,,,,,,,,,,,
2/2026,-1,Vbrand,,,,,,,,,,,,,,,,,,,,,,,,
2/2026,1006255,VnE-GO,0,0,0,0,0,"7,993,150",445196,7547954,252025,162202,151309,2980358,371733,612570,3426706,0,0,7379864,608403,4883,3363264,3981812,605858,23703
2/2026,1000000,VnExpress,0,0,0,0,0,"148,299,867",10829013,137470854,57749977,14609587,53213,48303,1002960,5352837,69062095,148299867,0,131175711,17000889,123267,70137937,54797372,22769343,498333
2/2026,1001006,Xe,279,258,21,28,251,"9,546,779",811547,8735232,476044,2818949,57159,1286627,759306,667808,3439030,4728352,4818427,8829457,710139,7183,5332714,3655704,500832,40407
2/2026,1001012,Ý kiến,220,220,0,3,217,"4,828,052",275725,4552327,183924,1537654,484009,774923,195543,521543,1057895,414212,4413840,4444955,378818,4279,3200862,1158213,440294,27146
3/2026,1005628,Bất động sản,255,157,98,51,204,"5,379,629",404400,4975229,281074,956354,276438,1594323,346198,405338,1471366,1030774,4348855,5004681,372263,2685,2619210,2234828,492604,29268
3/2026,1002966,Đời sống,283,248,35,37,246,"7,311,114",516080,6795034,351055,1826089,275340,1715991,361836,734091,1956293,871156,6439958,6393666,909823,7625,3865485,2766636,631736,42323
3/2026,1003231,Du lịch,288,230,58,41,247,"4,830,713",302537,4528176,278562,1606878,167255,937030,175239,438312,1165930,431108,4399605,4275601,550836,4276,2621213,1759180,412749,31480
3/2026,1003888,English,1217,1189,28,0,1217,"11,713,118",215100,11498018,1173700,8019991,162546,262070,44469,581863,1432056,1262510,10450608,1952558,9541351,219209,9631535,1356306,560014,136979
3/2026,1002691,Giải trí,435,416,19,87,348,"13,886,700",961309,12925391,707867,2686740,543076,3607140,850937,1852637,3516999,1909635,11977065,11738897,2135234,12569,7383575,5177536,1224171,90656
3/2026,1003497,Giáo dục,306,246,60,76,230,"7,641,046",340363,7300683,573369,3053474,528311,1342966,181747,549115,1356288,749312,6891734,7182733,450678,7635,4669225,2386624,535889,39571
3/2026,1003450,Góc nhìn,39,39,0,0,39,"2,041,403",162357,1879046,103520,107145,57708,606251,44601,113126,1004786,503632,1537771,1865325,174956,1122,662104,928743,437609,11598
3/2026,1006219,Khoa học công nghệ,479,455,24,133,346,"13,194,252",1303007,11891245,1029942,2572787,799438,3120412,642420,958559,3940439,0,0,11825119,1351997,17136,7068747,4740675,1301689,72042
3/2026,1003159,Kinh doanh,733,461,272,215,518,"16,112,382",1193510,14918872,1321024,2614085,722269,4781691,900931,1062183,4594138,2762938,13349444,14450985,1652621,8776,8274572,6107562,1643100,71634
3/2026,1004492,Mới nhất,0,0,0,0,0,"4,911,488",421963,4489525,294065,226297,195,556333,144221,445683,3242975,4911488,0,4252883,656822,1783,905279,2178844,1810758,12294
3/2026,1002835,Ngôi sao,1707,1650,57,1529,178,"48,186,255",2028462,46157793,8517688,7136338,1670727,9251667,1321731,7432778,12771966,18273999,29912256,39953232,8203010,30013,29638735,17704708,538563,247375
3/2026,1001007,Pháp luật,446,446,0,136,310,"20,602,103",1357086,19245017,1220763,2730621,1874542,5281409,1235474,2379506,5725737,3023843,17578260,18558646,2034885,8572,12263764,6045200,2188488,93879
3/2026,1005858,Spotlight,0,0,0,0,0,"7,621",608,7013,439,257,175,1299,910,1029,3438,7621,0,6935,679,7,4242,3307,0,72
3/2026,1003750,Sức khỏe,1029,389,640,49,980,"8,741,767",530533,8211234,428798,1662846,696584,2056125,352663,673503,2782701,976247,7765520,7797985,937735,6047,4908822,2674740,1057366,49935
3/2026,1001014,Tâm sự,470,470,0,0,470,"8,081,836",579231,7502605,386086,693993,39260,1577009,1321567,1195079,2822080,2567475,5514361,7126971,951040,3825,4103971,3195093,740299,39688
3/2026,1001002,Thế giới,879,879,0,476,403,"50,523,765",4071790,46451975,2724110,4663164,1338364,13988956,4195298,6173457,17114352,12472119,38051646,41773049,8718420,32296,29338387,15245495,5651222,259875
3/2026,1002565,Thể thao,730,674,56,155,575,"20,030,029",1487879,18542150,1355476,3839245,144784,3972947,2812232,1822844,5991706,7356887,12673142,17492270,2526587,11172,11680884,6370716,1853212,87558
3/2026,1001005,Thời sự,507,501,6,364,143,"33,538,817",2220179,31318638,1867764,4256103,2985074,11255543,1214537,2515107,9295040,4565051,28973766,31392390,2134683,11744,19294544,10705011,3370257,146953
3/2026,1001011,Thư giãn,247,247,0,0,247,"6,219,918",212287,6007631,311546,2896219,9684,416288,98608,1864324,579230,221263,5998655,5917260,300540,2118,4920017,1077289,183458,38013
3/2026,1006614,Tia sáng,,,,,,,,,,,,,,,,,,,,,,,,
3/2026,-1,Vbrand,,,,,,,,,,,,,,,,,,,,,,,,
3/2026,1006255,VnE-GO,0,0,0,0,0,"8,038,557",394188,7644369,259160,152534,161408,3318940,366072,635530,3107964,0,0,7406460,627711,4386,3740863,3603547,651194,24010
3/2026,1000000,VnExpress,0,0,0,0,0,"167,143,602",11561304,155582298,66732309,17181366,104536,62849,1173934,5645695,75745699,167143602,0,148720948,18343201,79453,79144619,61804917,25537127,548079
3/2026,1001006,Xe,331,292,39,37,294,"10,622,366",837309,9785057,548694,3152581,134005,1525209,650899,765262,3785133,4555987,6066379,9877510,739035,5821,5925676,3967287,665403,45191
3/2026,1001012,Ý kiến,234,234,0,0,234,"4,235,970",248527,3987443,215132,1207699,300810,721828,216517,466163,1019026,453250,3782720,3910690,323459,1821,2617642,1157847,436636,22730
4/2026,1005628,Bất động sản,233,123,110,27,206,"3,759,527",293246,3466281,212971,772111,174481,952523,288251,260591,1047502,924318,2835209,3519773,237860,1894,1731979,1677091,328254,19817
4/2026,1002966,Đời sống,239,202,37,33,206,"7,197,360",504221,6693139,372273,2099028,197742,1596872,346594,667105,1831832,833633,6363727,6182957,1006944,7459,3902983,2677238,568153,44631
4/2026,1003231,Du lịch,269,215,54,45,224,"4,754,494",298275,4456219,279831,1711937,148380,897382,172922,385029,1103177,421084,4333410,4180048,570034,4412,2599674,1760505,360399,29546
4/2026,1003888,English,1143,1088,55,0,1143,"10,879,032",219396,10659636,1081604,6963845,134203,277765,44878,576102,1742866,1309656,9569376,1974465,8736595,167972,8749777,1359170,611024,130884
4/2026,1002691,Giải trí,420,400,20,96,324,"10,751,156",825589,9925567,551600,2109289,169625,2833133,757511,1275580,2949045,1696781,9054375,8964133,1774993,12030,5333757,4399409,931447,75299
4/2026,1003497,Giáo dục,292,237,55,71,221,"7,738,435",332118,7406317,581378,3218071,586348,1269703,193197,529927,1309153,736327,7002108,7266215,463512,8708,4891510,2297930,504320,40398
4/2026,1003450,Góc nhìn,36,36,0,0,36,"2,062,748",163688,1899060,90612,90060,94610,616680,40505,127086,997672,480749,1581999,1905703,155834,1211,723498,889975,436301,11701
4/2026,1006219,Khoa học công nghệ,432,389,43,58,374,"22,556,447",1082228,21474219,7265646,2585160,4202385,2585544,540419,703106,4389792,357852,2466194,21205958,1330662,19827,16324877,5120914,982184,117197
4/2026,1003159,Kinh doanh,837,479,358,273,564,"30,173,884",2343937,27829947,2609388,4058543,1360360,10127814,1228482,2275261,8342147,3533501,26640383,27041132,3116050,16702,17143654,9866829,3011867,137178
4/2026,1004492,Mới nhất,0,0,0,0,0,"5,029,866",417544,4612322,300157,235799,224,612584,150957,433326,3294793,5029866,0,4360256,667580,2030,968421,2167664,1877959,12307
4/2026,1002835,Ngôi sao,1604,1564,40,1458,146,"43,948,615",1798394,42150221,7886102,7516544,1447930,8035538,1161995,7034391,10786095,16544748,27403867,36861571,7060237,26807,27110056,16048196,478628,228603
4/2026,1001007,Pháp luật,407,407,0,154,253,"21,953,574",1338923,20614651,1203893,3756201,1877608,5619602,1319843,2287226,5733660,2974867,18978707,20078176,1866446,8952,13792297,5839082,2215512,96051
4/2026,1005858,Spotlight,0,0,0,0,0,"5,454",473,4981,367,70,46,1049,705,812,2347,5454,0,4961,491,2,3202,2219,0,31
4/2026,1003750,Sức khỏe,1024,425,599,69,955,"9,550,525",572856,8977669,440350,1991870,659145,2452228,327109,707268,2891821,933516,8617009,8564677,978098,7750,5544946,2827102,1089524,51737
4/2026,1001014,Tâm sự,402,402,0,0,402,"7,776,373",564857,7211516,385140,808880,27439,1458248,1238368,1161548,2650759,2388522,5387851,6877315,895983,3075,4055155,2982072,699075,37170
4/2026,1001002,Thế giới,840,840,0,445,395,"40,795,942",3466950,37328992,2383715,4031389,695333,11327520,3732793,4614755,13743498,10966410,29829532,33494180,7273699,28063,22890439,13329019,4332489,220209
4/2026,1002565,Thể thao,772,697,75,144,628,"19,132,298",1419071,17713227,1301618,3997814,98367,3657662,2615478,1728285,5650674,6983447,12148851,16675643,2444313,12342,11464303,5886966,1665920,84232
4/2026,1001005,Thời sự,574,570,4,420,154,"38,889,314",2575381,36313933,2416915,5006079,2676861,12864536,1291140,2681340,11798436,4960629,33928685,36544969,2330713,13632,22867545,11905477,3910969,181501
4/2026,1001011,Thư giãn,234,234,0,0,234,"6,117,400",204762,5912638,307733,3011697,16215,398521,90091,1760463,494869,199635,5917765,5827950,287458,1992,4955232,1006637,117402,36951
4/2026,1006614,Tia sáng,,,,,,,,,,,,,,,,,,,,,,,,
4/2026,-1,Vbrand,,,,,,,,,,,,,,,,,,,,,,,,
4/2026,1006255,VnE-GO,0,0,0,0,0,"9,787,923",471225,9316698,339897,215828,238215,4043636,403997,720716,3789616,132,0,9115799,667631,4493,4763158,4213770,756574,29541
4/2026,1000000,VnExpress,0,0,0,0,0,"174,767,895",11971388,162796507,69564928,17890976,97287,75165,1245645,5571037,79792705,174767895,0,155564617,18669886,533392,83204839,64337911,26537677,565869
4/2026,1001006,Xe,299,245,54,27,272,"9,011,642",723154,8288488,481125,2879171,95995,1153323,644451,581367,3134955,4086483,4925159,8340030,666346,5266,5114590,3394706,447681,39838
4/2026,1001012,Ý kiến,218,218,0,0,218,"4,430,078",259648,4170430,180396,1382469,295567,805695,201566,470733,999625,428376,4001702,4101337,327056,1685,2838540,1139063,426513,24711
5/2026,1005628,Bất động sản,275,149,126,37,238,"4,667,103",330115,4336988,229221,892143,259633,1318638,305882,331312,1275593,942600,3724503,4373983,291248,1872,2306018,1931722,398657,28171
5/2026,1002966,Đời sống,282,236,46,36,246,"8,322,394",591767,7730627,411545,2131491,344871,1998263,380676,798218,2173720,869655,7452739,6874262,1439676,8456,4591056,2992450,679400,56060
5/2026,1003231,Du lịch,263,208,55,42,221,"5,002,846",320766,4682080,308209,1816694,151175,994432,198327,429064,1057330,461653,4541193,4347112,651015,4719,2770522,1839870,357105,33220
5/2026,1003888,English,1108,1073,35,0,1108,"14,106,239",215437,13890802,1325672,9921263,138395,238599,42219,739880,1646959,1178202,12928037,1756890,12086936,262413,11961396,1414800,505158,200424
5/2026,1002691,Giải trí,470,452,18,104,366,"11,604,441",851163,10753278,598862,2470834,210537,3043227,770727,1384987,3008454,1736782,9867659,9582522,2009515,12404,6033916,4529191,946473,84039
5/2026,1003497,Giáo dục,344,254,90,62,282,"8,796,189",383606,8412583,643254,3676514,620802,1441136,234729,635572,1484953,828092,7968097,8218358,571688,6143,5574198,2621279,545189,51174
5/2026,1003450,Góc nhìn,37,37,0,0,37,"1,969,503",140962,1828541,75317,104905,106884,577416,81040,104603,913020,487052,1482451,1823233,145296,974,782843,746414,428827,10415
5/2026,1006219,Khoa học công nghệ,470,390,80,88,382,"17,161,355",960298,16201057,5224020,2409600,973135,3335518,386214,778738,3865828,1156876,9533063,15892033,1259264,10058,11542254,4461184,1074950,74808
5/2026,1003159,Kinh doanh,704,457,247,224,480,"16,259,354",1240625,15018729,1373020,2511279,781107,4694292,976237,1053089,4761611,3007283,13252071,14827514,1422055,9785,8480891,6086187,1604669,79912
5/2026,1004492,Mới nhất,0,0,0,0,0,"4,741,939",419336,4322603,232762,222913,173,543326,148349,487261,3105379,4741939,0,4191017,548943,1979,862640,2108041,1754571,13590
5/2026,1002835,Ngôi sao,1584,1549,35,1511,73,"43,609,053",1758639,41850414,7740182,8439895,765201,8057826,1042012,7118899,10376550,16081709,27527344,36567815,7017732,23506,27010624,15803578,471506,232533
5/2026,1001007,Pháp luật,413,413,0,161,252,"22,948,012",1354933,21593079,1310583,3990684,2442581,5320067,1487786,2501551,5734335,3009423,19938589,20939118,1996817,12077,14478015,6120821,2226951,110050
5/2026,1005858,Spotlight,0,0,0,0,0,"9,350",897,8453,584,321,881,2909,674,762,3142,5228,4122,8448,895,7,4378,4906,6,59
5/2026,1003750,Sức khỏe,1083,450,633,116,967,"14,001,103",796337,13204766,791401,2805272,1495075,3631930,375933,1031682,3778026,1048957,12952146,12670438,1323353,7312,8487088,3824004,1604836,77726
5/2026,1001014,Tâm sự,320,320,0,0,320,"7,218,085",527956,6690129,362575,653195,23871,1357168,1190156,1063011,2525060,2364179,4853906,6343795,871162,3128,3678585,2841960,658660,35952
5/2026,1001002,Thế giới,942,942,0,523,419,"46,859,133",3787062,43072071,2705796,5677889,907592,12820073,4219945,5508362,14763481,10933837,35925296,39248779,7582262,28092,26733980,15045927,4801253,254495
5/2026,1002565,Thể thao,737,668,69,202,535,"21,334,750",1607638,19727112,1415526,4106814,131405,4327312,2878191,2016331,6386773,7278765,14055985,18587253,2735166,12331,12766368,6602268,1855985,97201
5/2026,1001005,Thời sự,533,529,4,388,145,"29,607,776",1960490,27647286,1794077,4615158,1841897,9574215,1325452,2237739,8086229,4194161,25413615,27848649,1749314,9813,16971669,9605428,2872720,142091
5/2026,1001011,Thư giãn,243,243,0,0,243,"7,800,391",240680,7559711,382795,3909430,57391,486461,113176,2171039,643178,239098,7561293,7431249,366385,2757,6390009,1237851,118251,52762
5/2026,1006614,Tia sáng,,,,,,,,,,,,,,,,,,,,,,,,
5/2026,-1,Vbrand,,,,,,,,,,,,,,,,,,,,,,,,
5/2026,1006255,VnE-GO,0,0,0,0,0,"6,962,149",354644,6607505,272976,171416,95094,2608818,368105,481538,2935105,5350,1832,6415877,541776,4496,3065611,3282200,570241,21155
5/2026,1000000,VnExpress,0,0,0,0,0,"161,661,688",11061836,150599852,66589474,16978564,54463,57863,1162129,5714650,70633207,161661688,0,144195803,17399152,66733,75937064,60546411,24542044,536635
5/2026,1001006,Xe,282,243,39,36,246,"10,664,902",805097,9859805,521913,3679288,138518,1555972,747999,679345,3306638,4165380,6499522,9842876,816717,5309,6295497,3744780,560004,47509
5/2026,1001012,Ý kiến,203,203,0,1,202,"4,940,604",272245,4668359,213284,1811110,313695,875918,196006,466264,981707,437405,4503199,4558387,380411,1806,3333675,1177266,397611,30455
